K,model,coord_oob_rate,canvas_oob_rate,excess_l1_mean,excess_l1_p99,iou_clamp_mean,iou_no_clamp_mean
2,signal,0.0,0.014940000139176846,0.0,0.0,0.7528054714202881,0.7528054714202881
2,logit_native,0.0,0.0066200001165270805,0.0,0.0,0.8007532954216003,0.8007532954216003
4,signal,0.0,0.009499999694526196,0.0,0.0,0.8015512228012085,0.8015512228012085
4,logit_native,0.0,0.005900000222027302,0.0,0.0,0.8203029632568359,0.8203029632568359
8,signal,0.0,0.007939999923110008,0.0,0.0,0.8094502091407776,0.8094502091407776
8,logit_native,0.0,0.00687999976798892,0.0,0.0,0.8198962211608887,0.8198962211608887
16,signal,0.0,0.010359999723732471,0.0,0.0,0.8039721250534058,0.8039721250534058
16,logit_native,0.0,0.008179999887943268,0.0,0.0,0.813490629196167,0.813490629196167
32,signal,0.0,0.012299999594688416,0.0,0.0,0.7943931221961975,0.7943931221961975
32,logit_native,0.0,0.009600000455975533,0.0,0.0,0.8055806756019592,0.8055806756019592
