axis,bucket,metric,n_boxes,mean_signal,mean_logit_native,median_diff_a_minus_b,p_value
size,tiny,iou,0,,,,
size,small,iou,9920,0.6695591807365417,0.6864122152328491,0.0,0.008759396939127733
size,mid,iou,26469,0.8198029398918152,0.8288718461990356,0.0,0.06188258932442549
size,large,iou,13611,0.880746603012085,0.8847192525863647,0.0,0.8569874160680021
size,huge,iou,0,,,,
size,tiny,size_err,0,,,,
size,small,size_err,9920,0.022868724539875984,0.021673554554581642,-0.0003630109131336212,0.003383099158358908
size,mid,size_err,26469,0.019325466826558113,0.01926015503704548,-0.0005360245704650879,2.502664572503495e-29
size,large,size_err,13611,0.02033240720629692,0.01997224986553192,-0.00014825165271759033,0.02504919760324275
size,huge,size_err,0,,,,
size,tiny,center_err,0,,,,
size,small,center_err,9920,0.0658138170838356,0.05742767080664635,0.0002114390954375267,1.0031266248913234e-10
size,mid,center_err,26469,0.029398318380117416,0.02439616620540619,0.00017254578415304422,7.1526621639091035e-25
size,large,center_err,13611,0.01933077909052372,0.017473775893449783,7.545435801148415e-05,0.009014142439475977
size,huge,center_err,0,,,,
ratio,≤1.5,iou,1063,0.8379653692245483,0.842552661895752,0.004658520221710205,2.70707293999202e-05
ratio,1.5–2,iou,5577,0.8615802526473999,0.8632110357284546,0.0012747645378112793,0.0003761753173038995
ratio,2–4,iou,27552,0.8458179235458374,0.8533068299293518,0.0,0.7727525073880901
ratio,4–8,iou,14298,0.7289938926696777,0.7444860935211182,0.0,0.004281607592268019
ratio,≥8,iou,1510,0.6002076268196106,0.6131104826927185,0.0,0.8900422781135364
ratio,≤1.5,size_err,1063,0.02992994338274002,0.031072432175278664,-0.002216652035713196,2.8667977792040475e-12
ratio,1.5–2,size_err,5577,0.023015260696411133,0.02352726273238659,-0.0007663220167160034,3.7110959092879975e-11
ratio,2–4,size_err,27552,0.01824161782860756,0.01786847598850727,-0.0003090202808380127,3.3441803547626895e-11
ratio,4–8,size_err,14298,0.020653266459703445,0.019692350178956985,-0.00019314885139465332,0.006686186100086512
ratio,≥8,size_err,1510,0.03778994083404541,0.03875889629125595,-0.0015710294246673584,1.2872689462605617e-06
ratio,≤1.5,center_err,1063,0.02599450759589672,0.02204262651503086,0.0002740989439189434,0.00970608591693897
ratio,1.5–2,center_err,5577,0.022679394111037254,0.020617719739675522,7.21486285328865e-05,0.017518529935718383
ratio,2–4,center_err,27552,0.025045281276106834,0.02130489982664585,0.00012209266424179077,7.544171347418737e-15
ratio,4–8,center_err,14298,0.05036159232258797,0.0426703579723835,0.00022375909611582756,2.7798437551037573e-16
ratio,≥8,center_err,1510,0.08602354675531387,0.07798036932945251,0.0002724844962358475,0.027150917425989823
